,filename,bounding_box
0,12-oclock-high-special-edition-00006361.jpg,[218.7541  216.80336 314.80557 360.88055]
1,12-oclock-high-special-edition-00006371.jpg,[183.6022  211.03792 277.58112 352.00632]
2,12-oclock-high-special-edition-00006381.jpg,[139.4829  214.6822  234.54361 357.27322]
3,12-oclock-high-special-edition-00006391.jpg,[115.20093 209.72414 210.6652  352.92053]
4,12-oclock-high-special-edition-00006401.jpg,[138.46643 209.2312  234.20126 352.8334 ]
5,12-oclock-high-special-edition-00006851.jpg,[181.97781 222.04514 256.93015 334.47363]
6,12-oclock-high-special-edition-00006931.jpg,[203.1541  209.75366 260.72394 296.10843]
7,12-oclock-high-special-edition-00012931.jpg,[216.39214 216.3621  349.1524  415.50253]
8,12-oclock-high-special-edition-00014211.jpg,[370.34933 239.9339  488.63593 417.36383]
9,12-oclock-high-special-edition-00014271.jpg,[348.64587 231.93217 474.3453  420.48126]
10,12-oclock-high-special-edition-00014391.jpg,[339.03775 215.2341  445.3723  374.736  ]
11,12-oclock-high-special-edition-00015581.jpg,[314.3191  213.7038  405.34106 350.2367 ]
12,12-oclock-high-special-edition-00015681.jpg,[473.91193 231.66853 531.8179  318.5275 ]
13,12-oclock-high-special-edition-00016481.jpg,[166.33769 175.43243 270.60333 331.83087]
14,12-oclock-high-special-edition-00016491.jpg,[156.67749 171.37683 254.34807 317.88266]
15,12-oclock-high-special-edition-00016501.jpg,[187.41586 167.22462 280.28513 306.5285 ]
16,12-oclock-high-special-edition-00016501.jpg,[187.07986 196.68117 319.34607 395.08047]
17,12-oclock-high-special-edition-00016511.jpg,[193.4565  164.72751 292.88052 313.8636 ]
18,12-oclock-high-special-edition-00018031.jpg,[218.55377 196.49281 339.27283 377.5714 ]
19,12-oclock-high-special-edition-00018041.jpg,[222.07181 183.05008 332.4587  348.63043]
20,12-oclock-high-special-edition-00018051.jpg,[225.61884 177.68779 324.9786  326.72742]
21,12-oclock-high-special-edition-00018051.jpg,[207.37376 198.39345 352.443   415.9973 ]
22,12-oclock-high-special-edition-00018061.jpg,[240.82147 176.68019 358.67932 353.46698]
23,12-oclock-high-special-edition-00018081.jpg,[238.21037 180.85072 381.17474 395.2973 ]
24,12-oclock-high-special-edition-00018111.jpg,[253.75461 169.88388 379.37213 358.31012]
25,12-oclock-high-special-edition-00018171.jpg,[244.84404 156.45035 354.5466  321.00415]
26,12-oclock-high-special-edition-00018181.jpg,[242.0404  150.6315  341.39417 299.66214]
27,12-oclock-high-special-edition-00030151.jpg,[565.3053  172.01001 659.83704 313.80746]
28,12-oclock-high-special-edition-00030241.jpg,[532.2749  170.87683 621.1634  304.20953]
29,12-oclock-high-special-edition-00030281.jpg,[518.6954  173.06876 615.3397  318.03522]
30,12-oclock-high-special-edition-00034041.jpg,[367.98618 195.65819 462.87372 337.98947]
31,12-oclock-high-special-edition-00034051.jpg,[349.20477 203.17657 448.9874  352.8506 ]
32,12-oclock-high-special-edition-00034061.jpg,[399.39648 185.21393 476.07404 300.2303 ]
33,12-oclock-high-special-edition-00034151.jpg,[392.58057 202.77673 491.32428 350.8923 ]
34,12-oclock-high-special-edition-00034151.jpg,[410.58752 183.69612 474.32703 279.3054 ]
35,12-oclock-high-special-edition-00034161.jpg,[394.90134 195.93762 490.36014 339.1259 ]
36,12-oclock-high-special-edition-00043631.jpg,[275.7074  317.49017 340.9671  415.37976]
37,12-oclock-high-special-edition-00044681.jpg,[262.5788  178.11833 335.3451  287.26776]
38,12-oclock-high-special-edition-00044691.jpg,[244.8473  212.99886 375.53705 409.03345]
39,12-oclock-high-special-edition-00044701.jpg,[293.9206  184.53621 402.6085  347.5681 ]
40,12-oclock-high-special-edition-00045831.jpg,[461.9091  257.097   518.3157  341.70685]
41,12-oclock-high-special-edition-00053451.jpg,[264.1938  149.63661 366.0039  302.35175]
42,12-oclock-high-special-edition-00054141.jpg,[206.07959 199.9975  281.63873 313.33624]
43,12-oclock-high-special-edition-00054151.jpg,[154.88622 205.11719 252.59494 351.68024]
44,12-oclock-high-special-edition-00054161.jpg,[184.3292  190.16003 286.57617 343.5306 ]
45,12-oclock-high-special-edition-00054201.jpg,[136.25461 170.543   232.07497 314.2735 ]
46,12-oclock-high-special-edition-00054551.jpg,[429.33295 213.14153 491.49878 306.3903 ]
47,12-oclock-high-special-edition-00054561.jpg,[431.30005 212.29892 492.2896  303.78323]
48,12-oclock-high-special-edition-00054571.jpg,[444.39938 212.7945  505.2988  304.14355]
49,12-oclock-high-special-edition-00054581.jpg,[439.74313 235.23448 530.77716 371.78555]
50,12-oclock-high-special-edition-00057901.jpg,[395.71924 177.97363 485.1134  312.0649 ]
51,12-oclock-high-special-edition-00058571.jpg,[386.57297 231.73315 514.35803 423.41068]
52,12-oclock-high-special-edition-00059391.jpg,[130.68127 232.90324 192.86665 326.1813 ]
53,12-oclock-high-special-edition-00061901.jpg,[336.91794 225.77448 466.91144 420.76462]
54,12-oclock-high-special-edition-00065851.jpg,[286.11508 277.50653 354.75995 380.47394]
